id,name,year,category,country
732,Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,1995,Cultural,Czechia
733,Ferrara - City of the Renaissance - and its Po Delta,1995,Cultural,Italy
734,Historic Villages of Shirakawa-go and Gokayama,1995,Cultural,Japan
736,Seokguram Grotto and Bulguksa Temple,1995,Cultural,Republic of Korea
737,Haeinsa Temple Janggyeong Panjeon - the Depositories for the Tripitaka Koreana Woodblocks,1995,Cultural,Republic of Korea
738,Jongmyo Shrine,1995,Cultural,Republic of Korea
739,Schokland and Surroundings,1995,Cultural,Netherlands
740,Gough and Inaccessible Islands,1995,Natural,United Kingdom of Great Britain and Northern Ireland
741,Old Town Lunenburg,1995,Cultural,Canada
742,Historic Centre of Santa Cruz de Mompox,1995,Cultural,Colombia
743,National Archeological Park of Tierradentro,1995,Cultural,Colombia
744,San Agustín Archaeological Park,1995,Cultural,Colombia
747,Historic Quarter of the City of Colonia del Sacramento,1995,Cultural,Uruguay
750,Ancient <I>Ksour</I> of Ouadane - Chinguetti - Tichitt and Oualata,1996,Cultural,Mauritania
751,Verla Groundwood and Board Mill,1996,Cultural,Finland
753,Medina of Essaouira (formerly Mogador),2001,Cultural,Morocco
754,Lake Baikal,1996,Natural,Russian Federation
755,Historic Centre of Oporto - Luiz I Bridge and Monastery of Serra do Pilar ,1996,Cultural,Portugal
757,Sceilg Mhichíl,1996,Cultural,Ireland
758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,1996,Cultural,Hungary
759,Defence Line of Amsterdam,1996,Cultural,Netherlands
761,Kunta Kinteh Island and Related Sites,2003,Cultural,Gambia (the)
762,Church Town of Gammelstad - Luleå ,1996,Cultural,Sweden
763,Lednice-Valtice Cultural Landscape,1996,Cultural,Czechia
764,Belize Barrier Reef Reserve System,1996,Natural,Belize
765,Volcanoes of Kamchatka,1996,Natural,Russian Federation
766,Central Sikhote-Alin,2001,Natural,Russian Federation
768,Golden Mountains of Altai,1998,Natural,Russian Federation
770,Canal du Midi,1996,Cultural,France
774,Laponian Area,1996,Mixed,Sweden
775,Hiroshima Peace Memorial (Genbaku Dome),1996,Cultural,Japan
776,Itsukushima Shinto Shrine,1996,Cultural,Japan
777,Monasteries of Haghpat and Sanahin,1996,Cultural,Armenia
778,Lushan National Park,1996,Cultural,China
779,Mount Emei Scenic Area - including Leshan Giant Buddha Scenic Area,1996,Mixed,China
780,Archaeological Site of Aigai (modern name Vergina),1996,Cultural,Greece
781,Historic Walled Town of Cuenca,1996,Cultural,Spain
782,La Lonja de la Seda de Valencia,1996,Cultural,Spain
783,Luther Memorials in Eisleben and Wittenberg,1996,Cultural,Germany
784,Historic Centre of the City of Salzburg,1996,Cultural,Austria
785,Semmering Railway,1998,Cultural,Austria
786,Palace and Gardens of Schönbrunn,1996,Cultural,Austria
787,The <I>Trulli</I> of Alberobello,1996,Cultural,Italy
788,Early Christian Monuments of Ravenna,1996,Cultural,Italy
789,Historic Centre of the City of Pienza,1996,Cultural,Italy
790,Archaeological Site of Panamá Viejo and Historic District of Panamá,1997,Cultural,Panama
791,Pre-Hispanic Town of Uxmal,1996,Cultural,Mexico
792,Historic Monuments Zone of Querétaro,1996,Cultural,Mexico
793,Historic City of Meknes,1996,Cultural,Morocco
794,Dougga / Thugga,1997,Cultural,Tunisia
795,Maritime Greenwich,1997,Cultural,United Kingdom of Great Britain and Northern Ireland
797,City of Verona,2000,Cultural,Italy
798,The Sundarbans,1997,Natural,Bangladesh
800,Mount Kenya National Park/Natural Forest,1997,Natural,Kenya
801,Lake Turkana National Parks,1997,Natural,Kenya
803,Las Médulas,1997,Cultural,Spain
804,Palau de la Música Catalana and Hospital de Sant Pau - Barcelona,1997,Cultural,Spain
805,San Millán Yuso and Suso Monasteries,1997,Cultural,Spain
806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,1997,Cultural,Austria
809,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,1997,Cultural,Croatia
810,Historic City of Trogir,1997,Cultural,Croatia
811,Old Town of Lijiang,1997,Cultural,China
812,Ancient City of Ping Yao,1997,Cultural,China
813,Classical Gardens of Suzhou,1997,Cultural,China
814,Morne Trois Pitons National Park,1997,Natural,Dominica
815,Hospicio Cabañas - Guadalajara,1997,Cultural,Mexico
816,Changdeokgung Palace Complex,1997,Cultural,Republic of Korea
817,Hwaseong Fortress,1997,Cultural,Republic of Korea
818,Mill Network at Kinderdijk-Elshout,1997,Cultural,Netherlands
819,Historic Area of Willemstad - Inner City and Harbour - Curaçao,1997,Cultural,Netherlands
820,Cocos Island National Park,1997,Natural,Costa Rica
821,Historic Centre of São Luís,1997,Cultural,Brazil
822,Historic Centre (Old Town) of Tallinn,1997,Cultural,Estonia
823,Residences of the Royal House of Savoy,1997,Cultural,Italy
824,Botanical Garden (Orto Botanico) - Padua,1997,Cultural,Italy
825,Archaeological Area and the Patriarchal Basilica of Aquileia,1998,Cultural,Italy
826,Portovenere - Cinque Terre - and the Islands (Palmaria - Tino and Tinetto),1997,Cultural,Italy
827,Cathedral - Torre Civica and Piazza Grande - Modena,1997,Cultural,Italy
828,Historic Centre of Urbino,1998,Cultural,Italy
829,Archaeological Areas of Pompei - Herculaneum and Torre Annunziata,1997,Cultural,Italy
830,Costiera Amalfitana,1997,Cultural,Italy
831,Archaeological Area of Agrigento,1997,Cultural,Italy
832,Villa Romana del Casale,1997,Cultural,Italy
833,Su Nuraxi di Barumini,1997,Cultural,Italy
835,Medieval Town of Toru?,1997,Cultural,Poland
836,Archaeological Site of Volubilis,1997,Cultural,Morocco
837,Medina of Tétouan (formerly known as Titawin),1997,Cultural,Morocco
839,Alejandro de Humboldt National Park,2001,Natural,Cuba
840,Viñales Valley,1999,Cultural,Cuba
841,San Pedro de la Roca Castle - Santiago de Cuba,1997,Cultural,Cuba
842,Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia - and the Certosa di Padula,1998,Cultural,Italy
846,Classical Weimar,1998,Cultural,Germany
847,Castle of the Teutonic Order in Malbork,1997,Cultural,Poland
848,Choirokoitia,1998,Cultural,Cyprus
849,Archaeological Site of Troy,1998,Cultural,Turkey
850,Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),1998,Cultural,Lebanon
852,Historic Centre of Riga,1997,Cultural,Latvia
853,Early Christian Necropolis of Pécs (Sopianae),2000,Cultural,Hungary
854,East Rennell,1998,Natural,Solomon Islands
855,Flemish Béguinages,1998,Cultural,Belgium
856,The Four Lifts on the Canal du Centre and their Environs - La Louvière and Le Roeulx (Hainaut),1998,Cultural,Belgium
857,La Grand-Place - Brussels,1998,Cultural,Belgium
859,Holy Trinity Column in Olomouc,2000,Cultural,Czechia
860,Gardens and Castle at Krom??íž,1998,Cultural,Czechia
861,Holašovice Historic Village,1998,Cultural,Czechia
862,Historic Monuments Zone of Tlacotalpan,1998,Cultural,Mexico
863,Historic Centre of Santa Ana de los Ríos de Cuenca,1999,Cultural,Ecuador
865,L'viv – the Ensemble of the Historic Centre,1998,Cultural,Ukraine
867,Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),1998,Cultural,Netherlands
868,Routes of Santiago de Compostela in France,1998,Cultural,France
870,Historic Monuments of Ancient Nara,1998,Cultural,Japan
871,Naval Port of Karlskrona,1998,Cultural,Sweden
872,Historic Site of Lyon,1998,Cultural,France
873,Provins - Town of Medieval Fairs,2001,Cultural,France
874,Rock Art of the Mediterranean Basin on the Iberian Peninsula,1998,Cultural,Spain
875,Archaeological Ensemble of Tárraco,2000,Cultural,Spain
876,University and Historic Precinct of Alcalá de Henares,1998,Cultural,Spain
877,New Zealand Sub-Antarctic Islands,1998,Natural,New Zealand
880,Summer Palace - an Imperial Garden in Beijing,1998,Cultural,China
881,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,1998,Cultural,China
883,Fuerte de Samaipata,1998,Cultural,Bolivia (Plurinational State of)
884,Three Castles - Defensive Wall and Ramparts of the Market-Town of Bellinzona,2000,Cultural,Switzerland
885,Historic Centre of Shakhrisyabz,2000,Cultural,Uzbekistan
886,State Historical and Cultural Park “Ancient Merv”,1999,Cultural,Turkmenistan
887,Kuk Early Agricultural Site,2008,Cultural,Papua New Guinea
889,Desembarco del Granma National Park,1999,Natural,Cuba
890,Historic Centre of the Town of Diamantina,1999,Cultural,Brazil
892,Discovery Coast Atlantic Forest Reserves,1999,Natural,Brazil
893,Atlantic Forest South-East Reserves,1999,Natural,Brazil
895,Historic Fortified Town of Campeche,1999,Cultural,Mexico
896,Museumsinsel (Museum Island) - Berlin,1999,Cultural,Germany
897,Wartburg Castle,1999,Cultural,Germany
